ts,score_bona,real_ratio,fake_ratio,sus_ratio,state_end,gt_label,pai
1770359637.5815613,1.0,1.0,0.0,0.0,ANTI_OK,,
1770359657.9207187,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371243.6979725,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371267.3115122,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371280.8453867,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371289.4680007,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371303.9682019,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371329.5341816,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371400.3410625,1.0,1.0,0.6,0.0,ANTI_FAIL,,
1770371416.8939433,1.0,1.0,1.0,0.0,ANTI_FAIL,,
1770371546.702084,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371573.9859684,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371584.6410487,0.98,0.98,0.0,0.02,ANTI_OK,,
1770371717.2573073,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371737.6202621,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371749.1243393,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371753.5695632,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371764.5036716,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371817.6731026,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371838.4128754,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371875.6591542,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371945.9529424,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371956.8542936,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371964.257103,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371971.2436023,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371980.086438,1.0,1.0,0.0,0.0,ANTI_OK,,
1770371997.9835384,1.0,1.0,0.0,0.0,ANTI_OK,,
1770372005.659314,1.0,1.0,0.0,0.0,ANTI_OK,,
1770372013.0105681,1.0,1.0,0.0,0.0,ANTI_OK,,
1770372020.564483,1.0,1.0,0.0,0.0,ANTI_OK,,
1770372028.694911,1.0,1.0,0.0,0.0,ANTI_OK,,
1770372035.8310971,1.0,1.0,0.0,0.0,ANTI_OK,,
1770372046.9819846,1.0,1.0,0.0,0.0,ANTI_OK,,
1770372054.0660105,1.0,1.0,0.0,0.0,ANTI_OK,,
1770372061.9229834,1.0,1.0,0.0,0.0,ANTI_OK,,
1772614195.909735,1.0,1.0,0.0,0.0,ANTI_OK,,
1772614250.757373,0.4,0.4,0.5,0.1,ANTI_OK,,
1772614265.259713,1.0,1.0,0.0,0.0,ANTI_OK,,
1772614289.6173317,1.0,1.0,0.0,0.0,ANTI_OK,,
1772615218.8470454,1.0,1.0,0.0,0.0,ANTI_OK,,
1772615244.1712842,1.0,1.0,0.0,0.0,ANTI_OK,,
1772615312.990117,1.0,1.0,0.0,0.0,ANTI_OK,,
1772617947.9184716,1.0,1.0,0.0,0.0,ANTI_OK,,
1772617962.900954,1.0,1.0,0.0,0.0,ANTI_OK,,
1772617972.3287466,1.0,1.0,0.0,0.0,ANTI_OK,,
1772617982.3178794,1.0,1.0,0.0,0.0,ANTI_OK,,
1772617991.557099,1.0,1.0,0.0,0.0,ANTI_OK,,
1772618005.348642,1.0,1.0,0.02,0.0,ANTI_OK,,
1772618015.868452,1.0,1.0,0.0,0.0,ANTI_OK,,
1772618029.7102602,1.0,1.0,0.0,0.0,ANTI_OK,,
1772694853.6054087,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772694860.6184478,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772694863.6127284,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772694877.796064,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772694884.9632773,0.8,0.8,0.3333333333333333,0.0,1.0,ANTI_OK,
1772694885.6462626,0.5333333333333333,0.5333333333333333,0.6,0.0,1.0,FACEID_FAIL,
1772694896.1011372,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772694902.8040245,1.0,1.0,1.0,0.0,1.0,ANTI_FAIL,
1772695221.2285402,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772695868.4446917,0.0,0.0,0.0,1.0,1.0,ANTI_FAIL,
1772696056.264629,0.6,0.6,0.0,0.4,1.0,ANTI_FAIL,
1772696061.2613015,0.8666666666666667,0.8666666666666667,0.0,0.13333333333333333,1.0,ANTI_OK,
1772696061.9712965,0.5333333333333333,0.5333333333333333,0.0,0.4666666666666667,1.0,FACEID_FAIL,
1772696093.323397,0.7333333333333333,0.7333333333333333,0.0,0.26666666666666666,1.0,ANTI_OK,
1772696094.057596,0.4,0.4,0.0,0.6,1.0,FACEID_FAIL,
1772696276.2780566,0.6,0.6,0.0,0.4,1.0,ANTI_FAIL,
1772696303.0187676,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,1.0,ANTI_OK,
1772696303.737418,0.26666666666666666,0.26666666666666666,0.0,0.7333333333333333,1.0,FACEID_FAIL,
1772696352.9572985,0.9333333333333333,0.9333333333333333,0.0,0.06666666666666667,1.0,ANTI_OK,
1772696538.2440228,0.5,0.5,0.0,0.5,1.0,ANTI_FAIL,
1772696550.7856653,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772696557.5265226,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772696560.4446847,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772696563.3650715,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772696566.5495481,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772696653.7480426,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772696660.8103945,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772696668.0268862,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772696675.2192183,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772696682.408661,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772696689.573351,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772696696.8518167,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772696704.0662575,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772696711.283751,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772696718.4497929,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772696725.5286057,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772696732.6918876,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
1772696739.4630857,1.0,1.0,0.0,0.0,1.0,ANTI_OK,
