epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.379,1.23687,1.31957,1.54499,0.77819,0.73009,0.79721,0.53598,1.20196,0.96766,1.66525,0.000554519,0.000554519,0.000554519
2,493.535,1.1517,1.04942,1.43745,0.81243,0.72956,0.81985,0.5476,1.20442,0.96108,1.65189,0.0010882,0.0010882,0.0010882
3,761.348,1.14411,1.03115,1.42117,0.79384,0.76657,0.85389,0.55559,1.19811,0.88974,1.66725,0.00159988,0.00159988,0.00159988
4,1029.48,1.12838,0.9975,1.40635,0.78899,0.82237,0.87025,0.58879,1.12119,0.84638,1.56663,0.00156798,0.00156798,0.00156798
5,1305.27,1.10782,0.94298,1.38531,0.84277,0.82612,0.88246,0.59709,1.12117,0.8195,1.55972,0.00153497,0.00153497,0.00153497
6,1579.36,1.07559,0.90664,1.36641,0.85277,0.84169,0.88351,0.60512,1.09146,0.77387,1.53146,0.00150197,0.00150197,0.00150197
7,1851.62,1.06362,0.88188,1.34853,0.88927,0.85151,0.89984,0.6207,1.07619,0.73235,1.51422,0.00146896,0.00146896,0.00146896
8,2124.22,1.04043,0.85121,1.3351,0.87278,0.87098,0.91431,0.63773,1.06383,0.70762,1.50507,0.00143595,0.00143595,0.00143595
9,2388.35,1.02559,0.8262,1.32612,0.89649,0.8508,0.91649,0.62611,1.11486,0.6833,1.53269,0.00140295,0.00140295,0.00140295
10,2657.9,1.01772,0.8082,1.31424,0.89599,0.8839,0.91909,0.64848,1.02792,0.66884,1.48523,0.00136994,0.00136994,0.00136994
11,2918.05,1.00372,0.78719,1.311,0.89707,0.85746,0.92137,0.64349,1.06467,0.67243,1.49782,0.00133693,0.00133693,0.00133693
12,3185.11,0.98492,0.77893,1.29107,0.87643,0.88081,0.91799,0.64835,1.03428,0.65132,1.47054,0.00130393,0.00130393,0.00130393
13,3452.55,0.97209,0.7531,1.28591,0.88562,0.86555,0.92235,0.66243,1.01461,0.64453,1.45022,0.00127092,0.00127092,0.00127092
14,3719.16,0.96714,0.75015,1.28456,0.90502,0.88385,0.92789,0.65069,1.03884,0.65624,1.46412,0.00123791,0.00123791,0.00123791
15,3923.08,0.96076,0.73013,1.27898,0.9055,0.88831,0.927,0.65857,1.0273,0.647,1.46325,0.00120491,0.00120491,0.00120491
16,4125.67,0.94701,0.72125,1.27131,0.91459,0.8674,0.91999,0.65514,1.02751,0.64646,1.47037,0.0011719,0.0011719,0.0011719
17,4394.31,0.94372,0.71343,1.2678,0.88825,0.87726,0.92692,0.66171,1.01518,0.63591,1.45425,0.00113889,0.00113889,0.00113889
18,4637.05,0.93298,0.70101,1.25988,0.90727,0.90146,0.93726,0.66503,1.0242,0.59811,1.45143,0.00110589,0.00110589,0.00110589
19,4882.12,0.92964,0.69433,1.2558,0.91352,0.89827,0.93236,0.66354,1.02944,0.617,1.46159,0.00107288,0.00107288,0.00107288
20,5146.68,0.9152,0.68138,1.24809,0.90613,0.89066,0.92592,0.65816,1.03043,0.63756,1.45691,0.00103987,0.00103987,0.00103987
21,5410.16,0.9125,0.67625,1.24321,0.9127,0.88957,0.92652,0.6693,0.99847,0.61002,1.42957,0.00100687,0.00100687,0.00100687
22,5675.51,0.9122,0.67271,1.24752,0.91393,0.91108,0.93752,0.67391,1.01597,0.57983,1.44977,0.000973861,0.000973861,0.000973861
23,5940.66,0.90045,0.66029,1.23708,0.93173,0.89357,0.93946,0.67065,1.01249,0.58114,1.43498,0.000940855,0.000940855,0.000940855
24,6201.79,0.88361,0.64489,1.22519,0.92175,0.89584,0.93086,0.67205,1.0061,0.59483,1.43163,0.000907848,0.000907848,0.000907848
25,6465.83,0.89316,0.65193,1.23137,0.92658,0.89464,0.93106,0.66905,1.01729,0.59023,1.45222,0.000874842,0.000874842,0.000874842
26,6733.08,0.87724,0.63682,1.21861,0.90936,0.89677,0.92967,0.66773,1.01955,0.58008,1.45842,0.000841835,0.000841835,0.000841835
27,7000.37,0.86888,0.63115,1.21683,0.92638,0.88635,0.9374,0.67661,1.00351,0.58536,1.43981,0.000808828,0.000808828,0.000808828
28,7262.59,0.86861,0.62415,1.2123,0.92765,0.90341,0.93491,0.6772,0.98165,0.564,1.41906,0.000775822,0.000775822,0.000775822
29,7524.7,0.86249,0.61713,1.20976,0.91618,0.90756,0.93596,0.67938,0.98843,0.57472,1.42131,0.000742815,0.000742815,0.000742815
30,7786.97,0.85891,0.60747,1.20457,0.90923,0.91327,0.93936,0.68328,0.97955,0.56974,1.41689,0.000709809,0.000709809,0.000709809
31,8048.06,0.84688,0.59999,1.20112,0.93129,0.91007,0.94209,0.68615,0.97216,0.54188,1.41155,0.000676802,0.000676802,0.000676802
32,8310.25,0.83849,0.59777,1.19444,0.93747,0.90167,0.94265,0.68898,0.97939,0.53675,1.41347,0.000643795,0.000643795,0.000643795
33,8572.17,0.83514,0.59283,1.19339,0.92082,0.90791,0.93485,0.68152,0.9856,0.5703,1.41854,0.000610789,0.000610789,0.000610789
34,8834.33,0.82935,0.58411,1.18987,0.92467,0.90145,0.93442,0.68322,0.98222,0.56672,1.41781,0.000577782,0.000577782,0.000577782
35,9095.93,0.83017,0.58346,1.18654,0.91284,0.91597,0.93687,0.68583,0.97315,0.5558,1.41132,0.000544776,0.000544776,0.000544776
36,9357.79,0.82414,0.57882,1.18432,0.92318,0.90691,0.93645,0.692,0.9671,0.54693,1.40928,0.000511769,0.000511769,0.000511769
37,9615.27,0.81867,0.56861,1.17928,0.93427,0.89358,0.9325,0.6863,0.96747,0.56438,1.41136,0.000478762,0.000478762,0.000478762
38,9871.35,0.81646,0.56473,1.17945,0.92295,0.90816,0.93173,0.68478,0.97276,0.55036,1.41036,0.000445756,0.000445756,0.000445756
39,10127.3,0.80159,0.55788,1.17382,0.9292,0.90615,0.93521,0.68814,0.96745,0.54536,1.41314,0.000412749,0.000412749,0.000412749
40,10393.1,0.7983,0.55336,1.16732,0.91469,0.91045,0.93289,0.68439,0.97427,0.55259,1.42398,0.000379743,0.000379743,0.000379743
41,10640.2,0.67969,0.37488,1.14638,0.91674,0.90216,0.93738,0.69308,0.97624,0.55275,1.4207,0.000346736,0.000346736,0.000346736
42,10890.2,0.66325,0.3594,1.13808,0.91291,0.91985,0.93854,0.70051,0.97414,0.54382,1.42678,0.000313729,0.000313729,0.000313729
43,11140.1,0.6481,0.34451,1.12465,0.92676,0.91039,0.93982,0.70322,0.96477,0.53427,1.42229,0.000280723,0.000280723,0.000280723
44,11391.1,0.63647,0.33909,1.11152,0.93081,0.91084,0.94316,0.70349,0.96315,0.53217,1.42742,0.000247716,0.000247716,0.000247716
45,11642.1,0.62636,0.33359,1.10718,0.936,0.90266,0.94253,0.70548,0.96448,0.53085,1.42711,0.00021471,0.00021471,0.00021471
